"Architecture","BuildTime_Seconds","BundleSize_MB","JS_Raw_MB","JS_Gzip_MB","CSS_MB","Performance_Score","FCP_ms","LCP_ms","TTI_ms","TBT_ms","SpeedIndex_ms","INP_ms","CLS","TestRuns","TestTimestamp","TestType"
"Homogeneous","N/A","N/A","N/A","N/A","N/A","62","208","2522","2522","0","498","0","0,9","3","20250907-172713","Production"
"Homogeneous-ProductList","161,96","1,97","0,368","N/A","0,008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Heterogeneous-ProductDetail","175,16","2,94","0,572","N/A","0,009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Heterogeneous-Shell","177,19","2,01","0,376","N/A","0,017","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Heterogeneous-SvelteCart","46,98","0,05","0,054","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Homogeneous-Total","693,02","8,09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Heterogeneous-ProductList","174,77","2,93","0,567","N/A","0,008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Heterogeneous","N/A","N/A","N/A","N/A","N/A","66","205","2107","2107","0","377","0","0,9","3","20250907-172713","Production"
"Homogeneous-ProductDetail","174,6","2,06","0,389","N/A","0,009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Homogeneous-Shell","181,42","2,01","0,377","N/A","0,017","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Heterogeneous-Total","574,1","7,929999999999999","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Homogeneous-Cart","175,04","2,05","0,388","N/A","0,009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","20250907-172713","Production"
"Monolith","218,1","1,81","0,258","N/A","0,016","63","208","2397","2397","0","317","0","0,9","3","20250907-172713","Production"
